data_referencia,interrupcoes,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_gr,vento_direcao_moda_gr,n_dias
2017-01-01,7460,1.8636918283896928,9.6,17.9,160.03068951342462,10.0,31
2017-02-01,6271,2.133317770146516,9.7,16.6,148.35393973641686,6.0,28
2017-03-01,5717,1.7451609903832261,7.3,14.7,159.23097404845697,29.0,31
2017-04-01,4251,2.073176941758666,8.5,15.3,130.32853085923483,50.0,30
2017-05-01,4247,2.0384975489596306,8.0,14.8,139.3569656482434,63.0,31
2017-06-01,3905,2.4822063729399257,9.1,16.8,126.4285875199362,44.0,30
2017-07-01,4593,3.2192120819438657,10.9,18.1,100.15445026634427,86.0,31
2017-08-01,4422,2.6081224877172082,8.8,15.7,113.57958030865828,48.0,31
2017-09-01,5083,3.4002237820250243,11.0,19.0,92.63816084452816,91.0,30
2017-10-01,6371,2.827270359659939,11.5,20.5,124.08003328603036,51.0,31
2017-11-01,7470,2.265670537859463,9.1,18.7,160.148429560404,144.0,30
2017-12-01,7187,1.9981462918316626,8.3,22.0,199.98166480565868,27.0,31
2018-01-01,7424,2.0188718356612596,7.9,16.0,165.64661883004476,4.0,31
2018-02-01,6029,2.134239679248492,8.0,15.9,179.228581258666,84.0,28
2018-03-01,6463,1.8505861864781508,9.0,20.7,169.14974484581998,83.0,31
2018-04-01,5176,2.1984366096866097,9.3,15.7,118.6920868945869,80.0,30
2018-05-01,4183,2.3419674263473373,9.9,16.7,118.38629892004377,77.0,31
2018-06-01,3570,2.2197357028726463,10.1,15.4,111.76865250637496,71.0,30
2018-07-01,4086,2.3111559139784945,9.1,15.6,111.61424731182795,85.0,31
2018-08-01,4982,2.3538303063160746,9.8,17.2,136.0973276407337,51.0,31
2018-09-01,4728,2.3138086858675093,9.1,17.8,129.33839713663244,39.0,30
2018-10-01,6658,1.9827732432502798,6.7,17.9,157.08679893499226,162.0,31
2018-11-01,6307,2.063859015102797,9.4,22.4,147.5338735026098,42.0,30
2018-12-01,6882,2.099767536670779,8.4,23.3,177.30315872167654,57.0,31
2019-01-01,6534,2.1010274821521655,8.4,17.6,135.42388143481656,60.0,31
2019-02-01,6729,1.8571440418272573,7.6,20.9,186.4702380952381,26.0,28
2019-03-01,5883,1.8774407522773295,7.9,18.6,151.2438803755034,81.0,31
2019-04-01,5482,1.56537441643324,8.7,19.5,159.02823062558357,96.0,30
2019-05-01,4270,1.7988440860215054,6.1,12.3,132.51182795698926,90.0,31
2019-06-01,3952,2.4355214632861695,9.9,15.9,112.88430576504106,79.0,30
2019-07-01,4266,2.47357664736697,10.2,16.6,124.34344499586436,84.0,31
2019-08-01,4667,2.7373032670471,12.7,20.3,103.28953228934253,87.0,31
2019-09-01,5684,2.6221788790282465,8.7,16.8,108.32628153442062,49.0,30
2019-10-01,6600,2.2580148616513998,9.1,20.0,134.8731596068243,51.0,31
2019-11-01,9428,2.011152849298791,8.9,18.9,170.20132014528602,13.0,30
2019-12-01,10190,2.030162738672082,10.3,22.8,155.14928677833902,49.0,31
2020-01-01,8606,2.149808964044885,9.2,19.8,222.10107335443743,317.0,31
2020-02-01,6062,1.8076165755606743,7.4,15.8,166.23419159598382,23.0,29
2020-03-01,5768,2.011250457739531,6.9,14.3,150.77247455946852,70.0,31
2020-04-01,5094,1.990699942271185,8.3,17.6,137.40812471488226,87.0,30
2020-05-01,5248,1.9499828386255484,8.6,25.1,135.5384202002051,15.0,31
2020-06-01,4931,2.165611111111111,8.4,15.1,109.0421197122917,59.0,30
2020-07-01,5383,2.3539123068582275,8.8,14.2,106.0547024824145,81.0,31
2020-08-01,4536,2.7413593773940876,9.0,16.5,101.93522753250487,44.0,31
2020-09-01,5937,2.567278061615261,9.1,15.6,101.60535716216582,79.0,30
2020-10-01,9198,2.2696825501003066,8.3,19.5,151.5727910809731,4.0,31
2020-11-01,6743,2.1939856152102535,9.7,20.2,151.06447654059883,52.0,30
2020-12-01,8594,1.8336883607550252,7.4,17.7,165.84282919465238,50.0,31
2021-01-01,8237,1.8773251256248336,7.0,20.3,144.62862527138319,49.0,31
2021-02-01,10049,1.7985897996532703,6.6,15.4,198.28896964809147,3.0,28
2021-03-01,8008,1.872406554154869,6.8,19.5,151.20633527602897,76.0,31
2021-04-01,6730,1.8612448646125117,7.6,16.5,146.09101307189542,77.0,30
2021-05-01,6057,1.786693548387097,9.1,14.7,140.7287634408602,80.0,31
2021-06-01,6873,2.0871388888888887,9.5,18.6,122.84194444444444,52.0,30
2021-07-01,6228,2.2256989247311827,8.6,18.3,128.2940860215054,84.0,31
2021-08-01,6469,2.8050181827788525,10.2,16.1,96.6448785747213,54.0,31
2021-09-01,7343,2.3416541992865523,11.0,20.8,120.06081585625704,42.0,30
2021-10-01,10334,2.234937406493759,8.4,20.3,157.33868924853311,32.0,31
2021-11-01,12059,2.047033941599539,9.2,21.3,185.06619992406118,7.0,30
2021-12-01,11332,1.867867667477485,7.2,13.5,190.1705053338437,3.0,31
2022-01-01,8949,2.1364262246117085,7.3,14.4,192.47334229390682,2.0,31
2022-02-01,8658,1.7945289716731492,7.4,15.4,182.79666631066553,1.0,28
2022-03-01,9410,1.9219576217583807,8.8,21.5,124.91292581548748,23.0,31
2022-04-01,7177,2.0291674421180903,8.1,14.5,125.70107645318014,76.0,30
2022-05-01,7432,2.0266397849462368,8.5,13.9,135.52354974247763,49.0,31
2022-06-01,6419,2.0207945845004667,7.4,13.3,125.66914332399627,80.0,30
2022-07-01,6820,2.367495389388179,7.8,17.5,103.75469871157728,93.0,31
2022-08-01,7487,2.5614022038181234,11.2,18.8,110.6383692742948,53.0,31
2022-09-01,9839,2.372311928656468,9.7,17.5,126.42832611259571,78.0,30
2022-10-01,9527,2.5299842826858336,10.2,17.0,134.39934635186262,11.0,31
2022-11-01,15336,2.1459617151738875,12.1,22.3,176.06636380427173,23.0,30
2022-12-01,11301,1.9944741561726154,7.3,22.8,201.94695709051868,305.0,31
2023-01-01,10117,1.7676144129536495,7.2,15.4,192.03894897441347,75.0,31
2023-02-01,8517,1.8319590568090105,7.4,22.0,145.46448019881706,53.0,28
2023-03-01,8508,1.8584424638748454,7.3,15.4,142.5846598583649,40.0,31
2023-04-01,8078,1.923849509664149,7.7,19.0,152.25869478776082,66.0,30
2023-05-01,6360,1.9428536590570278,8.5,15.0,137.19820638962426,61.0,31
2023-06-01,6372,2.124106676003735,7.8,15.1,118.75790616246498,50.0,30
2023-07-01,6763,2.332581774645342,9.0,14.5,114.6085840787928,82.0,31
2023-08-01,9027,2.3267849521507267,9.7,19.2,134.5492319477963,70.0,31
2023-09-01,8108,2.4231985984249604,10.6,30.4,122.72712147716639,51.0,30
2023-10-01,12940,2.076373599576723,9.4,20.8,155.53288385201662,8.0,31
2023-11-01,12097,2.031889667975843,8.5,21.3,163.37959907056538,65.0,30
2023-12-01,10913,1.9126916950273674,8.5,15.4,174.66978004504497,87.0,31
2024-01-01,10467,1.6489840361292443,8.1,26.6,209.18628134085606,6.0,31
2024-02-01,9002,1.8508355298379915,7.4,17.0,163.98141368667527,7.0,29
2024-03-01,9064,1.6332065201718242,8.3,16.0,156.32846847733046,15.0,31
2024-04-01,7128,2.0042046321353397,7.0,12.7,119.25469713874251,81.0,30
2024-05-01,5871,2.0861934128490107,7.4,13.2,120.08320683111954,85.0,31
2024-06-01,5621,2.29144558019974,8.5,15.1,107.87079321149851,78.0,30
2024-07-01,5874,2.280239079229286,8.2,16.0,101.21761397834148,85.0,31
2024-08-01,7013,2.5044714127396843,8.7,14.4,108.09071009761644,71.0,31
2024-09-01,7031,2.673953165756844,8.8,18.3,88.51591046525711,70.0,30
2024-10-01,13977,2.0730086230022478,9.3,22.6,148.22156330668807,33.0,31
2024-11-01,10648,1.9755202868768584,8.2,15.0,156.9898130089635,13.0,30
2024-12-01,11915,1.7415332932193983,7.2,22.9,183.25444909815056,14.0,31
2025-01-01,12047,1.8203625643805907,7.4,18.6,200.66430830396675,8.0,31
2025-02-01,8011,2.065720712013619,7.2,14.0,132.2156924210362,61.0,28
2025-03-01,9993,1.9694547377796172,10.9,25.0,137.1307107035218,92.0,31
2025-04-01,8614,1.6351296954679306,7.9,15.4,155.0468437118437,49.0,30
2025-05-01,7142,2.268305548025662,7.2,12.9,110.72229601518026,92.0,31
